source,title,company,location,stipend,duration,mode,internship_type,branch_required,cgpa_required,gender,eligibility_raw,skills,deadline,applicants,apply_link
Internshala,Video Editing/Making - Internship,TechDr Healthcare,Work from Home,"₹ 10,000 - 12,000 /month",6 Months,Work From Home,Part Time,Not mentioned,Not mentioned,All,Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 14th Apr'26 and 19th May'26 3. are available for duration of 6 months 4. are from Hyderabad only 5. have relevant skills and interests,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted todayInternship, Skill(s) required, Adobe After Effects, Adobe Photoshop",N/A,N/A,https://internshala.com/internship/detail/video-editing-making-internship-in-hyderabad-at-techdr-healthcare1776166153
Internshala,Content and Social Media Marketing - Internship,Coco Crush,Work from Home,"₹ 5,000 - 10,000 /month",3 Months,Work From Home,Part Time,Not mentioned,Not mentioned,All,Only those candidates can apply who: 1. are available for the part time job/internship 2. can start the part time job/internship between 14th Apr'26 and 19th May'26 3. are available for duration of 3 months 4. are from Delhi only 5. have relevant skills and interests,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted todayJob offer upto₹ 2.4LPApost internshipPart time, Skill(s) required, Content Editing, Content Management",N/A,N/A,https://internshala.com/internship/detail/part-time-content-and-social-media-marketing-internship-in-delhi-at-coco-crush1776188416
Internshala,Content Writing - Internship,ViralChilly,Work from Home,"₹ 3,000 - 5,000 /month",4 Months,Work From Home,Part Time,Not mentioned,Not mentioned,Girls Only,Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 13th Apr'26 and 18th May'26 3. are available for duration of 4 months 4. are from Jaipur only 5. have relevant skills and interests * Women wanting to start/restart their career can also apply.,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted 2 days agoInternship, Skill(s) required, Creative Writing, English Proficiency (Written)",N/A,N/A,https://internshala.com/internship/detail/content-writing-internship-in-jaipur-at-viralchilly1776054424
Internshala,Inside Sales - Internship,YES Germany,Work from Home,"₹ 7,000 - 12,000 /month",6 Months,Work From Home,Part Time,Not mentioned,Not mentioned,All,Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 14th Apr'26 and 19th May'26 3. are available for duration of 6 months 4. are from Thane only 5. have relevant skills and interests,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted todayJob offer upto₹ 2.4LPApost internship, Skill(s) required, Client Relationship, Customer Acquisition",N/A,N/A,https://internshala.com/internship/detail/inside-sales-internship-in-thane-at-yes-germany1776165249
Internshala,Business Development (Sales) - Internship,NiYO Solutions Incorporation,Work from Home,"₹ 15,000 - 20,000 /month",6 Months,Work From Home,Part Time,Not mentioned,Not mentioned,All,"Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 14th Apr'26 and 19th May'26 3. are available for duration of 6 months 4. are from Ahmedabad, Chennai, Delhi, Gurgaon, Hyderabad, Mumbai only 5. have relevant skills and interests","NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted few hours agoInternship, Skill(s) required, Effective Communication, Field Work",N/A,N/A,https://internshala.com/internship/detail/business-development-sales-internship-in-multiple-locations-at-niyo-solutions-incorporation1776227548
Internshala,Inside Sales - Internship,YES Germany,Work from Home,"₹ 7,000 - 12,000 /month",6 Months,Work From Home,Part Time,Not mentioned,Not mentioned,All,Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 14th Apr'26 and 19th May'26 3. are available for duration of 6 months 4. are from Balewadi only 5. have relevant skills and interests,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted todayJob offer upto₹ 2.4LPApost internship, Skill(s) required, Client Relationship, Customer Acquisition",N/A,N/A,https://internshala.com/internship/detail/inside-sales-internship-in-balewadi-at-yes-germany1776165636
Internshala,Digital Marketing - Internship,Urbanrise Landmark Realty Private Limited,Work from Home,"₹ 13,000 - 20,000 /month",1 Month,Work From Home,Part Time,Not mentioned,Not mentioned,Girls Only,Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 14th Apr'26 and 19th May'26 3. are available for duration of 1 month 4. are from Ahmedabad only 5. have relevant skills and interests * Women wanting to start/restart their career can also apply.,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted todayInternship, Skill(s) required, Creative Writing, Digital Marketing",N/A,N/A,https://internshala.com/internship/detail/digital-marketing-internship-in-ahmedabad-at-urbanrise-landmark-realty-pvt-ltd1776165155
Internshala,Graphic Design - Internship,Stashpro,Work from Home,"₹ 12,000 - 20,000 /month",6 Months,Work From Home,Part Time,Not mentioned,Not mentioned,All,Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 15th Apr'26 and 20th May'26 3. are available for duration of 6 months 4. have relevant skills and interests,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted few hours agoInternship, Skill(s) required, Adobe Illustrator, Adobe Photoshop",N/A,N/A,https://internshala.com/internship/detail/graphic-design-internship-in-pune-at-stashpro1776238315
Internshala,Talent Acquisition - Internship,VST Tillers Tractors Limited,Work from Home,"₹ 9,000 - 10,000 /month",6 Months,Work From Home,Part Time,Not mentioned,Not mentioned,Girls Only,Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 14th Apr'26 and 19th May'26 3. are available for duration of 6 months 4. are from Bangalore only 5. have relevant skills and interests * Women wanting to start/restart their career can also apply.,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted 1 day agoInternship, Skill(s) required, Recruitment, Talent Management",N/A,N/A,https://internshala.com/internship/detail/talent-acquisition-internship-in-bangalore-at-vst-tillers-tractors-limited1776142766
Internshala,Graphic Design (Social Media + AI) - Internship,Vattum AI,Work from Home,"₹ 10,000 - 15,000 /month",3 Months,Work From Home,Part Time,Not mentioned,Not mentioned,Girls Only,Only those candidates can apply who: 1. are available for the work from home job/internship 2. can start the work from home job/internship between 15th Apr'26 and 20th May'26 3. are available for duration of 3 months 4. have relevant skills and interests * Women wanting to start/restart their career can also apply.,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted few hours agoJob offer upto₹ 4.2LPApost internship, Skill(s) required, Adobe Illustrator, Adobe Photoshop",N/A,N/A,https://internshala.com/internship/detail/work-from-home-graphic-design-social-media-ai-internship-at-vattum-ai1776235318
Internshala,Digital Marketing - Internship,Paracoat Products Limited,Work from Home,"₹ 15,000 /month",3 Months,Work From Home,Part Time,Not mentioned,Not mentioned,All,Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 14th Apr'26 and 19th May'26 3. are available for duration of 3 months 4. have relevant skills and interests,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted todayInternship, Skill(s) required, Digital Marketing, Instagram Marketing",N/A,N/A,https://internshala.com/internship/detail/digital-marketing-internship-in-gurgaon-at-paracoat-products-limited1776167801
Internshala,Graphic Designer - Internship,Greater Than Educational Technologies,Work from Home,"₹ 10,000 - 15,000 /month",3 Months,Work From Home,Part Time,Not mentioned,Not mentioned,All,Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 13th Apr'26 and 18th May'26 3. are available for duration of 3 months 4. are from Hyderabad only 5. have relevant skills and interests,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted 2 days agoInternship, Skill(s) required, Adobe Illustrator, Adobe Photoshop",N/A,N/A,https://internshala.com/internship/detail/graphic-designer-internship-in-hyderabad-at-greater-than-educational-technologies1776071354
Internshala,Marketing - Internship,FarmLokal,Work from Home,"₹ 5,000 /month",3 Months,Work From Home,Part Time,Not mentioned,Not mentioned,Girls Only,Only those candidates can apply who: 1. are available for the work from home job/internship 2. can start the work from home job/internship between 15th Apr'26 and 20th May'26 3. are available for duration of 3 months 4. have relevant skills and interests * Women wanting to start/restart their career can also apply.,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted just nowInternship, Skill(s) required, Canva, Search Engine Marketing (SEM)",N/A,N/A,https://internshala.com/internship/detail/work-from-home-marketing-internship-at-farmlokal1776238513
Internshala,Cold Calling & Secondary Research - Internship,WWF-India,Work from Home,Unpaid,2 Months,Work From Home,Part Time,Not mentioned,Not mentioned,Girls Only,Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 14th Apr'26 and 19th May'26 3. are available for duration of 2 months 4. have relevant skills and interests * Women wanting to start/restart their career can also apply.,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, NGO, Posted just nowInternship, Skill(s) required, Effective Communication",N/A,N/A,https://internshala.com/internship/detail/cold-calling-secondary-research-internship-in-delhi-at-wwf-india1776243844
Internshala,Hotel Management (Operations) - Internship,Haldiram Foods International Private Limited,Work from Home,"₹ 5,500 - 8,000 /month",3 Months,Work From Home,Part Time,Not mentioned,Not mentioned,Girls Only,Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 14th Apr'26 and 19th May'26 3. are available for duration of 3 months 4. have relevant skills and interests * Women wanting to start/restart their career can also apply.,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted 1 day agoInternship, Skill(s) required, Client Interaction, Operating Systems",N/A,N/A,https://internshala.com/internship/detail/part-time-hotel-management-operations-internship-in-bangalore-at-haldiram-foods-international-private-limited1776147107
Internshala,Recruitment Consultant - Internship,V5 Global,Work from Home,"₹ 4,000 - 7,000 /month",3 Months,Work From Home,Part Time,Not mentioned,Not mentioned,All,Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 14th Apr'26 and 19th May'26 3. are available for duration of 3 months 4. have relevant skills and interests,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted 1 day agoInternship, Skill(s) required, Recruitment, Earn certifications in these skillsLearn RecruitmentLearn Human Resources",N/A,N/A,https://internshala.com/internship/detail/recruitment-consultant-internship-in-delhi-at-v5-global1776147001
Internshala,Content and Social Media Marketing - Internship,Etikara,Work from Home,"₹ 10,000 - 12,000 /month",3 Months,Work From Home,Part Time,Not mentioned,Not mentioned,Girls Only,Only those candidates can apply who: 1. are available for the part time job/internship 2. can start the part time job/internship between 14th Apr'26 and 19th May'26 3. are available for duration of 3 months 4. have relevant skills and interests * Women wanting to start/restart their career can also apply.,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted 1 day agoInternshipPart time, Skill(s) required, Content Editing, Content Management",N/A,N/A,https://internshala.com/internship/detail/part-time-content-and-social-media-marketing-internship-in-lucknow-at-etikara1776146633
Internshala,Telecaller Cum Admin Executive - Internship,T.I.M.E.,Work from Home,"₹ 8,000 - 10,000 /month",2 Months,Work From Home,Part Time,Not mentioned,Not mentioned,All,Only those candidates can apply who: 1. are available for the part time job/internship 2. can start the part time job/internship between 12th Apr'26 and 17th May'26 3. are available for duration of 2 months 4. have relevant skills and interests,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted 1 day agoInternshipPart time, Skill(s) required, Administrative Support, Canva",N/A,N/A,https://internshala.com/internship/detail/part-time-telecaller-cum-admin-executive-internship-in-nagpur-at-time1776146131
Internshala,Sales and Marketing - Internship,Gravita India Limited,Work from Home,"₹ 10,000 /month",6 Months,Work From Home,Part Time,Not mentioned,Not mentioned,All,Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 13th Apr'26 and 18th May'26 3. are available for duration of 6 months 4. are from Jaipur only 5. have relevant skills and interests,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted 2 days agoInternship, Skill(s) required, B2B Sales, Marketing",N/A,N/A,https://internshala.com/internship/detail/sales-and-marketing-internship-in-jaipur-at-gravita-india-limited1776067309
Internshala,Social Media Marketing - Internship,Polar Lifestyle Pvt Ltd,Work from Home,"₹ 17,000 - 27,500 /month",1 Month,Work From Home,Part Time,Not mentioned,Not mentioned,Girls Only,Only those candidates can apply who: 1. are available for full time (in-office) internship 2. can start the internship between 14th Apr'26 and 19th May'26 3. are available for duration of 1 month 4. have relevant skills and interests * Women wanting to start/restart their career can also apply.,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted todayInternship, Skill(s) required, English Proficiency (Spoken), English Proficiency (Written)",N/A,N/A,https://internshala.com/internship/detail/social-media-marketing-internship-in-mumbai-at-polar-lifestyle-pvt-ltd1776167924
Internshala,Video Editors - Internship,Sumit Sharma,Work from Home,"₹ 3,000 - 4,000 /month",3 Months,Work From Home,Part Time,Not mentioned,Not mentioned,Girls Only,Only those candidates can apply who: 1. are available for the work from home job/internship 2. can start the work from home job/internship between 13th Apr'26 and 31st May'26 3. are available for duration of 3 months 4. have relevant skills and interests * Women wanting to start/restart their career can also apply.,"NEW, Trending in AI, , Trending in AI, Get hired faster, NEW, Posted todayInternshipPart time, Skill(s) required, Video Editing, Earn certifications in these skillsLearn Video Editing",N/A,N/A,https://internshala.com/internship/detail/work-from-home-part-time-video-editors-internship-at-sumit-sharma1776167076
